id,score,mae_cursor_position,down_time_min,down_time_max,down_time_median,down_time_mean,down_time_std,up_time_min,up_time_max,up_time_median,up_time_mean,up_time_std,action_time_min,action_time_max,action_time_median,action_time_mean,action_time_std,word_count_min,word_count_max,word_count_median,word_count_mean,word_count_std,activity_input,activity_movefrom,activity_nonproduction,activity_paste,activity_removecut,activity_replace,down_event_alphanumeric,down_event_control_keys,down_event_special_character,down_event_unknown,text_change_many_q,text_change_many_q_to_many_q,text_change_many_q_to_not_q,text_change_many_q_to_single_q,text_change_nochange,text_change_not_q,text_change_not_q_to_many_q,text_change_not_q_to_not_q,text_change_not_q_to_single_q,text_change_single_q,text_change_single_q_to_many_q,text_change_single_q_to_not_q,text_change_single_q_to_single_q,text_change_unknown
00e713bd,4.5,666.0633077765608,820,1749055,806963.0,777464.0354874042,364718.7523664369,925,1749111,807053.0,777558.3423877327,364717.90838114335,0,938,91.0,94.30690032858708,47.01093312857729,0,574,264.0,274.4635268346112,167.90792099736896,0.8644030668127054,0.0,0.019058050383351587,0.0,0.11610076670317634,0.0004381161007667032,0.7036144578313253,0.28258488499452356,0.01380065717415115,0.0,0.0,0.0,0.0,0.0004381161007667032,0.019058050383351587,0.18181818181818182,0.0,0.0,0.0,0.7986856516976999,0.0,0.0,0.0,0
00f0737e,2.5,220.73634105960264,53017,1833682,586520.5,603517.3120860927,401106.7763018859,53249,1833804,586564.0,603648.469370861,401114.3629323395,0,930,136.0,131.15728476821192,81.29178646901703,0,252,119.0,119.69205298013244,79.70792149098439,0.7367549668874173,0.0,0.16473509933774835,0.0,0.09809602649006623,0.0004139072847682119,0.5985099337748344,0.38658940397350994,0.014900662251655629,0.0,0.0,0.0,0.0,0.0004139072847682119,0.16473509933774835,0.15438741721854304,0.0,0.0,0.0,0.6804635761589404,0.0,0.0,0.0,0
00f8e84c,4.5,75.85514646600376,4663,1773898,901318.0,950845.8938457404,462051.83690209454,4778,1773964,901318.0,950928.324375168,462051.0430190159,0,259,80.0,82.43052942757323,43.591845604279875,0,573,279.0,281.27438860521363,168.11624310586603,0.8551464660037624,0.0,0.12819134641225477,0.0,0.0166621875839828,0.0,0.6796560064498791,0.3044880408492341,0.01585595270088686,0.0,0.0,0.0,0.0,0.0,0.12819134641225477,0.18005912389142703,0.0,0.0,0.0,0.6917495296963182,0.0,0.0,0.0,0
00fc9a6a,3.5,714.007034431692,3101,1585609,635521.0,688396.695668271,362391.2967538805,3216,1585825,635601.0,688508.4639022584,362397.13685651345,0,23724,84.0,111.76823398741207,554.5884169278571,0,244,129.0,128.46242132543503,74.53243747166972,0.7512032580525732,0.0,0.050351721584598295,0.0007404664938911515,0.19770455386893743,0.0,0.5923731951129212,0.3720844131803036,0.03554239170677527,0.0,0.0022213994816734544,0.0,0.0,0.0,0.050351721584598295,0.2054794520547945,0.0,0.0,0.0,0.7419474268789338,0.0,0.0,0.0,0
0144e4d5,2.5,158.606518658479,83058,1830779,899530.0,919170.0991969769,472893.41871461837,83244,1831176,899622.0,919257.1029759092,472893.0893720419,0,586,86.0,87.00377893245158,45.20893508809821,0,234,118.0,124.25460557392536,71.3554157251296,0.7982994803967879,0.0,0.1506849315068493,0.0,0.05101558809636278,0.0,0.5266887104393009,0.4440245630609353,0.029286726499763816,0.0,0.0,0.0,0.0,0.0,0.1506849315068493,0.2975909305621162,0.0,0.0,0.0,0.5517241379310345,0.0,0.0,0.0,0
014e7ae9,5.0,854.5662158713958,18767,1833750,660797.0,701810.147996938,490102.9205240304,18860,1833868,660970.0,701934.1995406991,490108.75365850754,0,4162,122.0,124.05154376116356,114.53901835139219,0,449,237.0,226.74763970400613,129.95064777243155,0.8392447052819597,0.0,0.022965042102577188,0.00025516713447307985,0.13498341413625925,0.0025516713447307987,0.6749170706812962,0.3054350599642766,0.01964786935442715,0.0,0.0007655014034192396,0.0,0.0005103342689461597,0.002041337075784639,0.022965042102577188,0.19443735646848687,0.0,0.0,0.0,0.779280428680786,0.0,0.0,0.0,0
015aa732,5.0,322.05960264900665,14321,1754492,558506.0,585604.3462630085,271637.6427166993,14402,1754540,558573.0,585700.8448438979,271643.20295170235,0,2395,86.0,96.49858088930937,87.36138862197788,0,421,225.0,221.80069378744875,133.0756385075318,0.8981393882056133,0.0,0.01860611794386629,0.0,0.08136234626300852,0.001892147587511826,0.7171239356669821,0.2630085146641438,0.019867549668874173,0.0,0.001576789656259855,0.0,0.000315357931251971,0.001576789656259855,0.01860611794386629,0.19741406496373384,0.0,0.0,0.0,0.7805108798486282,0.0,0.0,0.0,0
0178a105,3.0,798.5037724898433,28486,1782003,864890.0,865000.9338363319,469054.80625816504,28658,1782121,865024.0,865136.77568195,469055.4721107475,0,4448,128.0,135.84184561810795,151.94973846824965,0,286,161.0,153.3978525827046,79.1836166810079,0.7092280905397562,0.0,0.034822983168891465,0.0002901915264074289,0.2547881601857226,0.0008705745792222867,0.567034242600116,0.4187463726059199,0.014219384793964016,0.0,0.0005803830528148578,0.0,0.0,0.0008705745792222867,0.034822983168891465,0.19413813116656994,0.0,0.0,0.0,0.7695879280325014,0.0,0.0,0.0,0
0182aa1c,4.0,636.6810620601408,31882,1757904,697512.5,750923.826615483,433855.2874636083,31977,1757984,697600.0,751019.8448496481,433851.40167343046,0,1530,90.0,96.01823416506718,52.131482881353314,0,406,187.0,190.1919385796545,116.30094869687316,0.8576455534229047,0.0,0.025591810620601407,0.0,0.1164427383237364,0.0003198976327575176,0.6874600127959053,0.29942418426103645,0.013115802943058221,0.0,0.0006397952655150352,0.0,0.0,0.0003198976327575176,0.025591810620601407,0.19001919385796545,0.0,0.0,0.0,0.7834293026231606,0.0,0.0,0.0,0
0190ff4c,4.0,130.42663891779395,40996,1661079,780482.0,796372.3277835588,399694.76479966973,41178,1661246,780569.5,796470.7055150884,399693.884841017,0,219,94.0,98.37773152965661,28.531978524022815,0,299,146.0,147.70343392299688,84.18525516726402,0.9146722164412071,0.0,0.023933402705515087,0.0,0.061394380853277836,0.0,0.7268470343392299,0.25806451612903225,0.015088449531737774,0.0,0.0,0.0,0.0,0.0,0.023933402705515087,0.19979188345473464,0.0,0.0,0.0,0.7762747138397502,0.0,0.0,0.0,0
01963e20,4.5,1325.0462519936204,1679,1796804,1217748.0,1221823.0303030303,328217.8978481672,1778,1796902,1217862.0,1221917.378787879,328220.0019657367,0,1675,93.0,94.34848484848484,68.16318295945015,0,414,188.0,194.23345295055822,126.47593541303891,0.7605661881977671,0.0,0.023923444976076555,0.0,0.21431419457735248,0.0011961722488038277,0.6208133971291866,0.36483253588516745,0.014354066985645933,0.0,0.0007974481658692185,0.0,0.0,0.0011961722488038277,0.023923444976076555,0.18341307814992025,0.0,0.0,0.0,0.7906698564593302,0.0,0.0,0.0,0
019737b6,3.5,667.2786825913862,921,1793063,477266.0,530513.8811074919,341163.0830438626,1065,1793209,477387.5,530600.7779587405,341171.1767902125,0,1973,96.0,86.89685124864278,63.748446816620785,0,636,310.0,308.7870068765834,188.51691922441097,0.741042345276873,0.0,0.18295331161780673,0.0,0.07564241766196164,0.0003619254433586681,0.5988056460369164,0.3879840752804922,0.013210278682591387,0.0,0.00018096272167933406,0.0,0.0,0.0003619254433586681,0.18295331161780673,0.15580890336590664,0.0,0.0,0.0,0.6606948968512486,0.0,0.0,0.0,0
01992d32,4.0,573.0505857294995,69136,1799899,658214.5,760148.7100638978,477991.9149649769,69259,1800025,658245.0,760283.9856230032,477996.47079276317,0,4442,133.0,135.2755591054313,115.35569468947119,0,537,274.0,276.3876464323749,155.79433640584296,0.8982960596379127,0.0,0.01703940362087327,0.0,0.08306709265175719,0.001597444089456869,0.7145899893503728,0.2681043663471778,0.017305644302449415,0.0,0.0,0.0,0.0005324813631522897,0.0007987220447284345,0.01703940362087327,0.2036741214057508,0.0,0.0,0.0,0.777689030883919,0.0,0.0,0.00026624068157614486,0
01c359fc,3.5,217.81424676209951,42985,1789274,674323.0,727123.9151329243,453993.73583629617,43155,1789390,674460.5,727250.3513974097,453989.3205973434,0,582,123.0,126.43626448534424,46.292719533934466,0,430,240.0,233.9850034083163,127.08925447167024,0.8616223585548739,0.0,0.05282890252215405,0.0,0.08554873892297205,0.0,0.6666666666666666,0.3094751192910702,0.023858214042263123,0.0,0.0,0.0,0.0,0.0,0.05282890252215405,0.22119972733469667,0.0,0.0,0.0,0.7259713701431493,0.0,0.0,0.0,0
01d0ba4b,1.5,124.50396583282489,61889,1336962,993835.0,964262.2727272727,269298.0709603608,61955,1336969,993837.0,964284.2818791947,269297.545693547,0,1551,12.0,22.009151921903598,60.21302670768066,0,229,113.0,113.25991458206224,66.31472706630046,0.9273947528981086,0.0,0.0036607687614399025,0.0,0.06894447834045149,0.0,0.7571690054911532,0.22818791946308725,0.01464307504575961,0.0,0.0,0.0,0.0,0.0,0.0036607687614399025,0.18608907870652838,0.0,0.0,0.0,0.8102501525320317,0.0,0.0,0.0,0
01d602a7,4.5,399.90232297788975,9470,1896113,1109242.0,1095681.6719843268,581985.9996949317,9604,1896217,1109445.0,1095827.080604534,581985.3779301663,0,501,151.0,145.40862020710887,50.09803774518109,0,487,232.0,231.71956339210746,143.08302177591162,0.8793730758466275,0.0,0.020431010355443605,0.0,0.10019591379792891,0.0,0.7044500419815282,0.27511894766302825,0.020431010355443605,0.0,0.0,0.0,0.0,0.0,0.020431010355443605,0.1945144136579905,0.0,0.0,0.0,0.7850545759865659,0.0,0.0,0.0,0
0249a095,5.0,712.8743047830923,31429,1800788,818901.5,945277.3292547275,606196.2517177699,31648,1800790,818931.0,945369.3650352244,606160.3628563414,0,1051,99.0,92.03578049684835,59.45998112620207,0,500,359.0,322.5791620318873,170.22682193569054,0.589173155357805,0.0,0.3385242862439748,0.0,0.07211716722284019,0.0001853911753800519,0.4686688913607712,0.5218761586948462,0.009454949944382647,0.0,0.0,0.0,0.0,0.0001853911753800519,0.3385242862439748,0.13440860215053763,0.0,0.0,0.0,0.5268817204301075,0.0,0.0,0.0,0
0262bf61,4.5,752.7330031517334,5700,1796999,798952.5,819029.4894191806,441328.8806723701,5948,1797149,799024.0,819108.2420081045,441326.8792712796,0,2036,76.0,78.75258892390815,60.923466658900885,0,447,226.0,227.5760918505178,130.6459458121894,0.7393066186402522,0.0,0.11233678523187754,0.0,0.14835659612787033,0.0,0.59995497523638,0.38316073840612336,0.016884286357496624,0.0,0.00022512381809995497,0.0,0.0,0.0,0.11233678523187754,0.1605132823052679,0.0,0.0,0.0,0.7269248086447546,0.0,0.0,0.0,0
026be946,5.0,244.61733517750116,3046,1791707,703426.5,753457.9767173813,464342.63050914725,3257,1791758,703531.5,753548.7411249423,464347.20814154047,0,2500,76.0,90.76440756108806,74.68857057308836,0,712,382.0,373.7136929460581,207.05835343261387,0.9232365145228216,0.0,0.04495159059474412,0.0,0.031581373905025356,0.0002305209774089442,0.7351313969571232,0.24734900875979715,0.01751959428307976,0.0,0.0,0.0,0.0,0.0002305209774089442,0.04495159059474412,0.19479022591055786,0.0,0.0,0.0,0.760027662517289,0.0,0.0,0.0,0
0294b4f5,2.5,145.28245892951776,95780,1774945,1016215.0,984806.4297827239,456501.7593560157,95938,1775073,1016267.0,984866.7466878643,456499.56427839084,0,486,60.0,60.31690514043455,18.739641758516893,0,205,112.0,111.19607843137256,61.9222541785737,0.8516163222045575,0.0,0.03232644409114997,0.0,0.11605723370429252,0.0,0.708532061473238,0.2766295707472178,0.01483836777954425,0.0,0.0,0.0,0.0,0.0,0.03232644409114997,0.16534181240063592,0.0,0.0,0.0,0.8023317435082141,0.0,0.0,0.0,0
02a41d1a,3.0,395.7720700152207,91083,1858764,968283.0,896357.4908675799,413404.1942173463,91214,1858969,968389.0,896513.3786149162,413426.9630872803,0,27388,150.0,155.8877473363775,537.540052379582,0,269,144.0,141.6990106544901,80.42971031445235,0.7952815829528158,0.0,0.04604261796042618,0.0,0.15753424657534246,0.001141552511415525,0.6385083713850838,0.3439878234398782,0.01750380517503805,0.0,0.0,0.0,0.000380517503805175,0.00076103500761035,0.04604261796042618,0.1830289193302892,0.0,0.0,0.0,0.7697869101978692,0.0,0.0,0.0,0
02cf6a52,3.5,250.04048780487804,37437,1360393,496115.0,566297.6395121951,371547.070851969,37543,1360489,496248.0,566427.6185365854,371546.9633855639,0,1738,127.0,129.9790243902439,53.00007872241442,0,282,143.0,142.45658536585367,83.35581337422404,0.8887804878048781,0.0,0.020975609756097562,0.0,0.08926829268292683,0.000975609756097561,0.7117073170731707,0.2678048780487805,0.02048780487804878,0.0,0.0,0.0,0.0004878048780487805,0.0,0.020975609756097562,0.1980487804878049,0.0,0.0,0.0004878048780487805,0.78,0.0,0.0,0.0,0
02d3c9fc,4.0,618.049641478213,1004,1770369,531441.0,555949.0474351903,339210.0077089249,1085,1770438,531596.5,556056.9376723663,339230.41671891697,0,6342,103.0,107.89023717595146,194.04306121057598,0,284,162.0,145.96635410921124,84.58598872349614,0.6693325979040264,0.0,0.1908439051296194,0.0002757859900717044,0.13734142305570876,0.002206287920573635,0.5471594043022614,0.43849972421400996,0.014340871483728626,0.0,0.0019305019305019305,0.0,0.0002757859900717044,0.0019305019305019305,0.1908439051296194,0.15002757859900717,0.0,0.0,0.0,0.6549917264202979,0.0,0.0,0.0,0
02e86b6a,4.0,1247.8206731653486,1167,1834048,1000371.0,926703.426889829,534305.0822956034,1268,1834118,1000457.0,926786.7152841641,534305.38853838,0,1498,81.0,83.28839433511128,57.99723388788939,0,490,197.0,224.32554717675188,146.9715310475645,0.7307338605848813,0.0,0.10869965054257863,0.0001839249586168843,0.15983078903807246,0.000551774875850653,0.5962847158359389,0.38532278830237265,0.01839249586168843,0.0,0.0007356998344675372,0.0,0.0,0.0003678499172337686,0.10869965054257863,0.16258966341732572,0.0,0.0,0.0001839249586168843,0.7274232113297775,0.0,0.0,0.0,0
031c0c58,4.0,471.0552893475857,25309,1729186,466218.0,529769.0622926649,367350.8229933551,25418,1729226,466218.0,529897.6369332842,367352.263045272,0,2274,126.0,128.57464061924068,80.27063628675197,0,337,192.0,188.72687062292664,102.66131742555213,0.8503501658680428,0.0,0.034647991153704386,0.0,0.11315886472539624,0.0018429782528566164,0.6852193144120899,0.2956137117582013,0.01916697382970881,0.0,0.0,0.0,0.0,0.0018429782528566164,0.034647991153704386,0.19056395134537413,0.0,0.0,0.0,0.7729450792480649,0.0,0.0,0.0,0
034d61db,4.5,44.59663394109397,2229,1799538,607879.0,626599.2294530154,334057.8335484147,2448,1799742,607983.0,626700.7175315568,334058.1153705499,0,253,94.0,101.48807854137448,33.4890334301188,0,562,291.0,286.7023842917251,162.87404264695834,0.9755960729312763,0.0,0.01570827489481066,0.0,0.008695652173913044,0.0,0.7974754558204769,0.18653576437587657,0.015988779803646564,0.0,0.0,0.0,0.0,0.0,0.01570827489481066,0.1803646563814867,0.0,0.0,0.0,0.8039270687237027,0.0,0.0,0.0,0
035f09fc,3.5,503.9730296673659,9868,1804761,759095.0,760654.1222655079,386061.0945026885,10076,1804899,759219.0,760769.6020377585,386064.2814649757,0,1937,113.0,115.47977225052442,61.75672393373255,0,407,219.0,214.01827989211867,118.25159117080185,0.8231944860653282,0.0,0.08900209769253821,0.0,0.08540605334132455,0.00239736290080911,0.6646688642493257,0.3167515732694037,0.0185795624812706,0.0,0.0005993407252022775,0.0,0.0,0.00239736290080911,0.08900209769253821,0.17830386574767756,0.0,0.0,0.0,0.7296973329337728,0.0,0.0,0.0,0
036cfd42,4.5,1899.8220150292234,18109,1790074,721515.5,807381.655580295,489585.4558490155,18266,1790148,721635.0,807467.7176454216,489583.0254794634,0,1700,85.0,86.06206512663512,60.34284363422148,0,641,330.0,313.7126356804898,181.31634718966131,0.7305872529919287,0.0,0.11299749512941831,0.0,0.15627609240189258,0.00013915947676036738,0.5786251043696076,0.406067353186752,0.015307542443640411,0.0,0.00013915947676036738,0.0,0.0,0.00013915947676036738,0.11299749512941831,0.18758697467297522,0.0,0.0,0.0,0.6991372112440857,0.0,0.0,0.0,0
0395b217,5.5,493.57956577266924,34599,1669898,584877.0,595084.3923371647,327143.1597783432,34658,1669973,584944.0,595171.172669221,327146.20491225075,0,494,85.0,86.78033205619413,43.358492679897786,0,471,236.0,237.1264367816092,136.71142751553356,0.8250319284802043,0.0,0.04418901660280971,0.0,0.1305236270753512,0.0002554278416347382,0.6625798212005108,0.3223499361430396,0.015070242656449554,0.0,0.0,0.0,0.0,0.0002554278416347382,0.04418901660280971,0.1872286079182631,0.0,0.0,0.0,0.7683269476372925,0.0,0.0,0.0,0
03971ddf,4.5,758.5813836054537,1311,1803382,1164454.0,1082944.8276384447,536273.907938996,1478,1803555,1164548.0,1083017.6623464064,536274.71383001,0,2358,63.0,72.83470796162263,70.49787073606959,0,327,260.0,228.80154856084835,87.33819770722519,0.3570106042753745,0.0,0.6152162935532739,0.000168321831341525,0.0276047803400101,0.0,0.289513549907423,0.7035852550075745,0.006901195085002525,0.0,0.00033664366268305,0.0,0.0,0.0,0.6152162935532739,0.07422992762161253,0.0,0.0,0.0,0.31021713516243055,0.0,0.0,0.0,0
040c429b,5.0,1531.7508242234946,36912,1751113,739074.0,799211.9486378622,513480.1167639962,36990,1751210,739268.0,799313.3517265313,513480.4258083729,0,1847,96.0,101.40308866909595,65.00039866513482,0,530,264.0,251.9364914107236,173.65694414931045,0.7520388686448031,0.0,0.024292903001908728,0.0,0.22366822835328823,0.0,0.5877147319104633,0.39493319451674475,0.01735207357279195,0.0,0.00034704147145583897,0.0,0.0,0.0,0.024292903001908728,0.21221585979524554,0.0,0.0,0.0,0.7631441957313899,0.0,0.0,0.0,0
0417d421,3.0,508.5999136814847,46648,730823,412313.0,399877.46741476044,203403.8858329382,46651,730936,412414.0,399989.6361674579,203405.15424750216,0,501,111.0,112.1687526974536,42.55943227233408,0,271,130.0,131.46396201985326,74.6228520774386,0.8221838584376349,0.0,0.022874406560207165,0.0,0.15494173500215797,0.0,0.6512731981009927,0.3284419507984463,0.02028485110056107,0.0,0.0,0.0,0.0,0.0,0.022874406560207165,0.2080276219249029,0.0,0.0,0.0,0.7690979715148899,0.0,0.0,0.0,0
0432f117,4.0,731.3417132216015,3871,1784913,583107.5,711429.5782122905,491859.7967244429,3973,1784997,583219.0,711541.5533829919,491861.7675991081,0,1847,105.5,111.97517070142769,84.67437127293947,0,396,206.5,199.26381129733085,116.56473746108647,0.8606455617628802,0.0,0.048106765983860954,0.00031036623215394165,0.09000620732464308,0.000931098696461825,0.7098075729360646,0.2743637492240844,0.015828677839851025,0.0,0.000931098696461825,0.0,0.0,0.000931098696461825,0.048106765983860954,0.164804469273743,0.0,0.0,0.0,0.7852265673494724,0.0,0.0,0.0,0
0445b534,3.5,94.3877430760165,77920,1963106,1314228.0,1070293.1078373601,581647.5614091322,77975,1963166,1314296.0,1070355.335297584,581646.6250904786,0,153,68.0,62.227460223924574,22.31158268493258,0,214,93.0,99.61579257513259,62.188163084352425,0.8373600471420153,0.0,0.12610489098408956,0.0,0.03594578668238067,0.0005892751915144372,0.6764879198585739,0.30288744843842075,0.020624631703005304,0.0,0.0029463759575721863,0.0,0.0,0.0005892751915144372,0.12610489098408956,0.17619328226281675,0.0,0.0,0.0,0.6941661756040071,0.0,0.0,0.0,0
044b274d,6.0,1425.4012387010378,484,1717163,744122.0,767756.9363910278,420068.87094971316,602,1718155,744156.0,767834.3680950786,420069.4485472936,0,1357,74.0,77.43170405088718,48.12912280474529,0,531,274.0,265.42082356879814,157.14002711426326,0.778875125544024,0.0,0.041513223970539005,0.00016739203213927018,0.17693337797120856,0.0025108804820890528,0.6355875460328089,0.3461667224640107,0.01824573150318045,0.0,0.001171744224974891,0.0,0.00016739203213927018,0.002176096417810512,0.041513223970539005,0.18312688316036158,0.0,0.0,0.0,0.7716772681620355,0.0,0.0,0.00016739203213927018,0
044c5c54,1.0,87.88625954198473,2376,1091101,461592.5,559464.2022900763,349741.3017327169,2429,1091145,461643.0,559529.2648854962,349737.7728888755,0,409,60.0,65.06259541984733,25.46080837899938,0,213,99.0,103.81603053435114,60.75949572178627,0.932824427480916,0.0,0.009923664122137405,0.0,0.05725190839694656,0.0,0.7473282442748092,0.24274809160305344,0.009923664122137405,0.0,0.0007633587786259542,0.0,0.0,0.0,0.009923664122137405,0.2015267175572519,0.0,0.0,0.0,0.7877862595419848,0.0,0.0,0.0,0
048fd254,4.0,192.55002243158367,51604,1774835,491234.0,525939.4975325258,339591.1511263604,51673,1774918,491305.0,526025.199192463,339587.51500811125,0,2267,84.0,85.70165993719156,70.82673058067739,0,296,162.0,157.08254822790488,93.61609602027896,0.8272768057424854,0.0,0.10587707492148946,0.0,0.06684611933602512,0.0,0.6545536114849708,0.3252579632122028,0.020188425302826378,0.0,0.0,0.0,0.0,0.0,0.10587707492148946,0.18528488111260655,0.0,0.0,0.0,0.708838043965904,0.0,0.0,0.0,0
04b88b3e,4.0,609.5810287610619,14647,1798116,559751.5,680512.9756637168,463181.63072327204,14725,1798252,559820.0,680621.9231194691,463176.9274899295,0,3324,109.0,108.94745575221239,73.09790326955141,0,514,248.5,253.55475663716814,153.22606912508658,0.8857853982300885,0.0,0.03263274336283186,0.0,0.08075221238938053,0.000829646017699115,0.7032632743362832,0.2704646017699115,0.02627212389380531,0.0,0.0,0.0,0.0,0.000829646017699115,0.03263274336283186,0.19607300884955753,0.0,0.0,0.0,0.7704646017699115,0.0,0.0,0.0,0
